,,Aircraft,Apparel,Automobiles and Trucks,Banking,Banking - Large Cap,Banking - Small Cap,Business Services,Business Services - Large Cap,Business Services - Small Cap,Chemicals,Communication,Computers,Construction,Construction Materials,Consumer Goods,Electrical Equipment,Electronic Equipment,Electronic Equipment - Large Cap,Electronic Equipment - Small Cap,Entertainment,Food Products,Healthcare,Insurance,Insurance - Large Cap,Insurance - Small Cap,Machinery,Machinery - Large Cap,Machinery - Small Cap,Measuring and Control Equipment,Medical Equipment,Personal Services,Petroleum and Natural Gas,Pharmaceutical Products,Precious Metals,"Restaurants, Hotels, Motels",Retail,Retail - Large Cap,Retail - Small Cap,Steel Works Etc,Trading,Trading - Large Cap,Trading - Small Cap,Transportation,Utilities,Utilities - Large Cap,Utilities - Small Cap,Wholesale
Tstat,Alpha,1.7260162292390806,0.8610610493225427,0.9253403839591052,1.5017736303370215,1.5392017590369733,0.6773647310211534,1.6679143040747078,1.9012932045635007,0.02880216713206558,0.7375680698822669,0.7725724836638171,1.9100589545573288,2.3773562831809953,1.5560220641975224,1.193045762335351,1.6130930829976002,0.9499927302451817,0.9477689019313499,-0.1965967138040251,1.302834776486872,0.19248122557336214,1.909980716014608,1.4656717288686938,1.3107059161175918,0.621305565018675,1.4093465124345732,1.9367939889661947,-0.12970246243320505,1.8187277043419354,1.104447092280997,0.9573418892646958,0.5170395725762598,1.141120282115908,1.1634288961485146,2.121789696605589,1.9700572144635773,2.218096074642579,0.2958855675175401,0.7008825674126191,1.293349773842929,1.5167152432831261,0.5696359333736153,1.9163147350419862,1.4052196883107595,1.5423617852895886,0.48688428972297826,2.0208027914366387
Tstat,CMA,0.25931781520419006,1.052742019613614,-0.6937037773927808,-1.044943888058193,-1.1195296394921301,0.28908276234137764,0.4786912434123629,0.49055022623632044,0.08640098892752347,0.5086477366261692,-0.41084151957061665,0.0829472428636605,-0.6178389059295005,0.4796207517893959,0.010945669886017488,0.322334648833355,1.1001426842843696,1.2243650444837466,0.4794095508966886,0.2657324189810556,1.2955961597637855,1.1259147986144116,0.10963009620005477,0.7159550289464617,0.39881504180674304,0.379076441886205,0.5520384329839133,-0.7944169595810697,0.23660183293783238,0.7423675030676479,0.6607675462038467,-0.2514778610631264,-0.26327596737960823,0.7718438219046744,0.46494928367622623,0.8689529208554218,1.5952580744175378,-0.0892747703581798,1.7861585928477959,0.6016590156481607,0.5553789117659526,0.5411693886823292,0.8684976666779267,0.06005791740751993,-0.35766880880662755,1.6596614281825193,0.8136820097919448
Tstat,HML,1.1100775204192417,-0.6271229974234784,1.6608586629286293,1.222590278398265,1.2574709974826284,0.15368359022357328,-0.7747624216695164,-0.8011899637768948,0.17728505387503782,0.24526857066239846,0.10579707711341813,0.7098996157460857,0.9854719984178016,0.4641395615163226,1.0484491869582762,-0.4040330724695936,-1.429840875171926,-1.415781820434698,-0.327274221639961,-0.829527746516213,-1.1828928244594683,0.22347896951327734,0.16288700370561834,-0.23402120291177503,-0.11223502592118983,0.28373467007144476,0.42043482380540625,0.4598643747636671,0.1272023031589588,-0.47277890492114083,-0.6336236378570174,0.2802072612450373,-0.09482165878391821,-1.5766704097995214,-0.5806259454751325,0.06083571879738392,-0.2667893476863669,0.6780096679948655,-0.8487201400291493,-0.2943667624496616,-0.37647561236484844,-0.7942748422314281,0.42831117058339635,0.31778227922332836,0.44240494729136304,-1.2754549033834612,-0.42634399100753334
Tstat,Mkt-RF,-0.8528811174084564,0.47335212887962214,0.7695361972659548,-0.26520234887194255,-0.282952896758663,-0.4659805584318064,0.4636416962743164,0.5789859224284754,0.7201459836212634,0.6305215046146566,-0.35855512247832455,0.3420742344487724,-0.10629722547088255,0.1965218141750657,-0.28894412668456976,0.8869913890561498,2.09165137353395,1.974883112588747,1.5265322668657184,0.8459262190705714,0.22156978264266086,-0.03946019476720066,0.4588175690931505,1.6381432492346226,-1.5659299165555796,0.6259202120774388,0.7901545718190773,0.38090993671444073,0.71964093054465,-0.2776257456872788,-0.058619147596712835,-0.3072355038034174,-0.10653050574355821,0.4102687537272273,-0.5275480084435448,-0.3077312673979256,-0.47247335345255514,-0.13148753557734927,0.7339808818740704,-0.049352546871104915,0.2034732205260202,-0.07865899430381978,-0.20672419685654658,-1.0298803765926883,-0.9955876657366284,-0.1337680677390853,0.05381292666737824
Tstat,RMW,-2.3948258173680474,-0.25647985609350293,-1.479594252342724,0.22221201745508123,0.2967513891191381,-0.8364768826056785,-0.1495867004811463,0.2575289794206395,-1.395064174777679,-1.1162800966418005,-1.8345619023842064,-0.9128121404989423,-0.9697614811372478,-1.165264431830637,-0.4483876741692638,-1.2287225527304522,-0.13495827390743623,0.06503969145146633,-1.3644013602248628,-1.0354472542833597,0.35980456642436437,-2.147101890025255,-0.6501417349369092,-0.24789301652280823,0.23156284778450048,-0.9696533706665822,-1.0067601362315366,-0.5396310722349457,-0.48853102132985654,-1.1442699360836583,1.3788096098332947,-0.1396100248707883,0.7892643167979625,-1.1808247899346163,-0.19534048039456922,-1.1674817559614972,-1.0118566332346668,-1.6014129614213144,-0.9585719990928503,-1.2233350325390542,-1.3549042611686746,-0.7297552232123771,-1.1411758653022728,-0.8701364404145805,-0.8580781592546426,1.0305162941719317,-1.0679613311451324
Tstat,SMB,-0.21902247789371299,0.6594831305132091,-0.34989944259204686,0.38820123103275883,0.35531458662034626,0.04533986310984943,0.43661512247115497,0.3853982004491298,-0.8167232057177286,-0.04587731047122286,-0.09670628301449569,-0.023411318084373436,-0.8495487813471161,-0.30394317731513876,-0.5750191103913158,0.1000102645386931,-0.10495793365608828,-0.008641314364012272,-1.2400261263265238,-0.21234926731143947,0.00033169388041368736,-1.9817389232611273,-0.8155266690267685,-0.6286696007444458,0.4413590022522246,-0.5380896615541132,-0.7614829018116599,0.0963503522236303,0.010363835901810241,-0.06296732338241125,0.7464281306656567,0.00900209695693845,0.7418297299240857,0.9623560886646954,-0.037454806477413685,-0.17914832513185883,-0.12128761011447556,-0.3412875648618995,0.06964230214681584,-0.1176670268100221,-0.00591783197439806,-0.420177072878503,0.40789629872352723,-0.2600571874234704,-0.4248262765095044,0.6665095200563738,-0.5790683028509567
is_significant,"('Tstat', 'Alpha')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
is_significant,"('Tstat', 'CMA')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
is_significant,"('Tstat', 'HML')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
is_significant,"('Tstat', 'Mkt-RF')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
is_significant,"('Tstat', 'RMW')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
is_significant,"('Tstat', 'SMB')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
