,industry_name,key,num_firms,total_market_cap,gvkeys,marketcap_id
90,Precious Metals,27,17,5099850387.139999,"[2055.0, 7881.0, 20670.0, 1186.0, 5560.0, 108768.0, 3153.0, 8644.0, 105861.0, 106112.0, 62337.0, 123455.0, 26768.0, 26539.0, 20600.0, 106203.0, 9728.0]",all
100,"Restaurants, Hotels, Motels",43,22,4760944646.16,"[7154.0, 25434.0, 165914.0, 65417.0, 28930.0, 31846.0, 160211.0, 3007.0, 160376.0, 164471.0, 29011.0, 25737.0, 3708.0, 3570.0, 28397.0, 19398.0, 3424.0, 63739.0, 13092.0, 12544.0, 160785.0, 148470.0]",all
103,Retail,42,65,27101807953.649998,"[64768.0, 29028.0, 11259.0, 5680.0, 178081.0, 6829.0, 11672.0, 3813.0, 2184.0, 150139.0, 6502.0, 28180.0, 9248.0, 31587.0, 178704.0, 63643.0, 114524.0, 6733.0, 23809.0, 29736.0, 30059.0, 15520.0, 29150.0, 4990.0, 4611.0, 11511.0, 145049.0, 25283.0, 2807.0, 111873.0, 3964.0, 64410.0, 65718.0, 64175.0, 9063.0, 145977.0, 63847.0, 24157.0, 175900.0, 65343.0, 144640.0, 25234.0, 14624.0, 65831.0, 24430.0, 133767.0, 2436.0, 11343.0, 12972.0, 147868.0, 27938.0, 163051.0, 162988.0, 5109.0, 111103.0, 5523.0, 166213.0, 13602.0, 176343.0, 122519.0, 24171.0, 65430.0, 62501.0, 174147.0, 65406.0]",all
104,Retail - Large Cap,42,13,21539320890.37,"[64768.0, 29028.0, 11259.0, 5680.0, 178081.0, 6829.0, 11672.0, 3813.0, 2184.0, 150139.0, 6502.0, 28180.0, 9248.0]",large_cap
105,Retail - Small Cap,42,13,52271284.8,"[162988.0, 5109.0, 111103.0, 5523.0, 166213.0, 13602.0, 176343.0, 122519.0, 24171.0, 65430.0, 62501.0, 174147.0, 65406.0]",small_cap
113,Steel Works Etc,19,16,1132249556.82,"[2787.0, 3107.0, 8030.0, 64030.0, 10405.0, 15343.0, 3246.0, 62516.0, 5496.0, 29131.0, 24293.0, 2448.0, 11600.0, 4498.0, 61635.0, 15459.0]",all
118,Trading,47,125,16264224452.15,"[114628.0, 12124.0, 13988.0, 124434.0, 105365.0, 5543.0, 149070.0, 177088.0, 163610.0, 138743.0, 176701.0, 113490.0, 178507.0, 29984.0, 149337.0, 10096.0, 110179.0, 30822.0, 164708.0, 8898.0, 2369.0, 160991.0, 29389.0, 12138.0, 29804.0, 29875.0, 10035.0, 121382.0, 178997.0, 65556.0, 62374.0, 13125.0, 64821.0, 9273.0, 28733.0, 30293.0, 29649.0, 10504.0, 158742.0, 6682.0, 66354.0, 64925.0, 65886.0, 160479.0, 7063.0, 10894.0, 64766.0, 27875.0, 24731.0, 25633.0, 145701.0, 174744.0, 29359.0, 6100.0, 4885.0, 65290.0, 30067.0, 28629.0, 11770.0, 65615.0, 160373.0, 29099.0, 28322.0, 4605.0, 63422.0, 144496.0, 160990.0, 31521.0, 12140.0, 65710.0, 11301.0, 162354.0, 30384.0, 162160.0, 29052.0, 8605.0, 11220.0, 4193.0, 64306.0, 66731.0, 9317.0, 162559.0, 266315.0, 30298.0, 28323.0, 24291.0, 127377.0, 24620.0, 266214.0, 5862.0, 3562.0, 24825.0, 8692.0, 29868.0, 28340.0, 175307.0, 160706.0, 61163.0, 30637.0, 25665.0, 5149.0, 178862.0, 15101.0, 135788.0, 24533.0, 1257.0, 30490.0, 61129.0, 13562.0, 4045.0, 65640.0, 14592.0, 27780.0, 124046.0, 13580.0, 8148.0, 9346.0, 28769.0, 13453.0, 61188.0, 8493.0, 7279.0, 61004.0, 174926.0, 163884.0]",all
119,Trading - Large Cap,47,25,10957186348.38,"[114628.0, 12124.0, 13988.0, 124434.0, 105365.0, 5543.0, 149070.0, 177088.0, 163610.0, 138743.0, 176701.0, 113490.0, 178507.0, 29984.0, 149337.0, 10096.0, 110179.0, 30822.0, 164708.0, 8898.0, 2369.0, 160991.0, 29389.0, 12138.0, 29804.0]",large_cap
120,Trading - Small Cap,47,25,135128516.18,"[5149.0, 178862.0, 15101.0, 135788.0, 24533.0, 1257.0, 30490.0, 61129.0, 13562.0, 4045.0, 65640.0, 14592.0, 27780.0, 124046.0, 13580.0, 8148.0, 9346.0, 28769.0, 13453.0, 61188.0, 8493.0, 7279.0, 61004.0, 174926.0, 163884.0]",small_cap
121,Transportation,40,47,9693866820.26,"[119314.0, 1045.0, 10867.0, 2574.0, 3851.0, 7923.0, 10920.0, 13498.0, 28191.0, 10795.0, 24617.0, 126296.0, 4598.0, 5783.0, 65609.0, 9882.0, 2698.0, 4494.0, 150481.0, 30861.0, 2696.0, 1230.0, 130618.0, 147305.0, 6461.0, 249158.0, 21440.0, 11065.0, 165678.0, 1254.0, 10565.0, 175007.0, 1743.0, 62378.0, 12392.0, 4941.0, 179087.0, 12266.0, 29206.0, 65500.0, 160621.0, 61034.0, 147398.0, 12625.0, 178877.0, 12840.0, 163060.0]",all
124,Utilities,31,58,9661252340.22,"[4517.0, 8539.0, 9850.0, 4093.0, 4029.0, 8272.0, 1440.0, 8151.0, 11506.0, 7977.0, 8264.0, 3413.0, 6135.0, 165649.0, 11550.0, 8810.0, 7366.0, 8099.0, 135990.0, 3439.0, 8455.0, 3897.0, 7970.0, 4383.0, 9846.0, 10860.0, 5742.0, 7974.0, 11554.0, 6338.0, 10671.0, 10801.0, 5870.0, 2259.0, 1075.0, 8113.0, 8542.0, 160913.0, 7733.0, 12428.0, 7437.0, 9890.0, 8807.0, 6867.0, 8001.0, 11304.0, 9849.0, 6547.0, 7849.0, 9324.0, 8199.0, 5526.0, 2986.0, 2628.0, 6932.0, 7993.0, 7368.0, 62618.0]",all
125,Utilities - Large Cap,31,11,4756629913.96,"[4517.0, 8539.0, 9850.0, 4093.0, 4029.0, 8272.0, 1440.0, 8151.0, 11506.0, 7977.0, 8264.0]",large_cap
126,Utilities - Small Cap,31,11,176474470.61,"[6547.0, 7849.0, 9324.0, 8199.0, 5526.0, 2986.0, 2628.0, 6932.0, 7993.0, 7368.0, 62618.0]",small_cap
127,Wholesale,41,36,4099607162.7999997,"[7171.0, 31673.0, 2751.0, 29901.0, 10247.0, 5256.0, 14225.0, 61420.0, 28787.0, 120444.0, 5125.0, 30671.0, 61494.0, 61732.0, 156155.0, 63927.0, 155394.0, 2101.0, 1919.0, 1773.0, 116029.0, 31453.0, 1004.0, 1659.0, 12471.0, 64223.0, 178973.0, 11017.0, 147708.0, 176914.0, 8213.0, 29910.0, 29870.0, 25536.0, 64063.0, 163935.0]",all
