,sicdescription,sic_level,num_firms,total_market_cap,gvkeys,marketcap_id
130,NON-DEPOSITORY CREDIT INSTITUTIONS - Large Cap,6100,12,7151846793.81,"[38916, 36722, 3243, 1447, 30990, 37413, 37357, 20686, 25339, 4601, 3592, 5072]",large_cap
131,NON-DEPOSITORY CREDIT INSTITUTIONS - Small Cap,6100,12,5245867.995,"[35781, 165578, 63639, 37186, 62919, 38978, 24932, 149379, 25852, 24819, 123998, 29175]",small_cap
132,NONCLASSIFIABLE ESTABLISHMENTS,9900,83,1563387288.5154,"[1300, 7435, 2176, 51604, 64163, 51011, 50343, 13709, 51721, 51381, 19349, 51595, 40340, 9538, 61251, 51009, 37809, 74363, 51889, 50420, 45444, 74341, 50797, 51748, 51716, 41529, 60715, 60999, 50733, 26721, 45698, 45442, 74684, 50887, 50948, 51919, 50994, 61025, 45384, 45660, 45700, 5650, 51719, 60792, 50519, 51559, 41634, 50344, 74316, 45389, 51767, 45797, 51941, 51813, 40551, 51880, 51558, 52007, 51720, 50993, 43578, 51861, 38492, 45300, 50300, 50433, 51594, 50706, 38926, 51667, 16331, 51534, 50195, 51533, 51298, 40493, 50476, 51890, 50945, 50243, 51855, 51548, 45301]",all
133,NONCLASSIFIABLE ESTABLISHMENTS - Large Cap,9900,16,1502570812.408,"[1300, 7435, 2176, 51604, 64163, 51011, 50343, 13709, 51721, 51381, 19349, 51595, 40340, 9538, 61251, 51009]",large_cap
134,NONCLASSIFIABLE ESTABLISHMENTS - Small Cap,9900,16,2607764.92,"[50706, 38926, 51667, 16331, 51534, 50195, 51533, 51298, 40493, 50476, 51890, 50945, 50243, 51855, 51548, 45301]",small_cap
135,OIL AND GAS EXTRACTION,1300,145,7506120281.3188,"[29453, 9465, 8549, 16478, 32106, 27786, 8068, 4430, 28338, 5439, 170750, 1678, 18465, 20548, 112876, 14934, 15055, 38018, 30923, 120093, 6788, 26864, 4367, 11781, 30284, 29108, 2270, 184442, 31252, 30145, 40235, 21833, 45723, 34010, 29135, 42856, 187812, 26069, 40383, 142337, 41981, 7620, 11925, 26013, 5581, 187698, 21431, 41799, 273726, 8079, 206243, 21237, 17228, 1661, 323308, 74529, 40306, 278151, 186276, 31331, 6311, 65006, 8901, 61759, 41901, 164046, 29680, 30075, 20695, 322985, 187961, 29760, 36897, 34183, 20684, 194755, 50770, 43507, 33449, 23433, 176899, 186553, 27199, 41797, 146659, 40590, 160341, 35613, 31507, 36951, 185230, 185956, 13431, 122194, 62626, 348784, 176103, 184582, 31845, 13871, 10938, 106156, 184651, 142443, 183855, 176840, 105239, 41733, 185309, 27265, 37955, 106062, 176408, 178674, 186180, 10877, 180401, 19640, 7422, 38800, 21834, 17449, 163822, 174169, 37672, 35644, 105786, 175616, 20676, 34055, 154774, 64107, 66318, 43217, 41352, 275945, 163712, 174395, 26028, 31056, 186908, 31178, 64568, 29111, 181105]",all
136,OIL AND GAS EXTRACTION - Large Cap,1300,29,6286815070.85,"[29453, 9465, 8549, 16478, 32106, 27786, 8068, 4430, 28338, 5439, 170750, 1678, 18465, 20548, 112876, 14934, 15055, 38018, 30923, 120093, 6788, 26864, 4367, 11781, 30284, 29108, 2270, 184442, 31252]",large_cap
137,OIL AND GAS EXTRACTION - Small Cap,1300,29,6005868.1267,"[180401, 19640, 7422, 38800, 21834, 17449, 163822, 174169, 37672, 35644, 105786, 175616, 20676, 34055, 154774, 64107, 66318, 43217, 41352, 275945, 163712, 174395, 26028, 31056, 186908, 31178, 64568, 29111, 181105]",small_cap
138,PAPER AND ALLIED PRODUCTS,2600,19,2111571109.19,"[6435, 6104, 100243, 283184, 128978, 25389, 1913, 9815, 35874, 39651, 5338, 50852, 32558, 181931, 20860, 14065, 15083, 14563, 176867]",all
141,PERSONAL SERVICES,7200,12,693701931.38,"[3062, 9611, 2269, 32608, 51724, 43360, 145308, 63456, 39365, 39819, 162891, 9023]",all
144,PETROLEUM REFINING AND RELATED INDUSTRIES,2900,19,6246282073.5342,"[4503, 2991, 2771, 186989, 15247, 170841, 183791, 5667, 196159, 15070, 178672, 5903, 166563, 22447, 8850, 165846, 147183, 12384, 50791]",all
148,PRIMARY METAL INDUSTRIES,3300,34,1928448262.62,"[3107, 8030, 64030, 10405, 27638, 2787, 10930, 3246, 15343, 62516, 17997, 2448, 24293, 29131, 1263, 11600, 26753, 5496, 61635, 186773, 43651, 4498, 20011, 268208, 12383, 37660, 15459, 10236, 122154, 40512, 4903, 31826, 62553, 45782]",all
151,"PRINTING, PUBLISHING, AND ALLIED INDUSTRIES",2700,12,337468857.894,"[7866, 18043, 50403, 164086, 19574, 11499, 37130, 3863, 9466, 4390, 184748, 183565]",all
157,REAL ESTATE,6500,45,1915778990.81,"[37519, 260774, 38488, 24116, 65108, 27393, 32771, 174729, 33809, 32748, 174022, 185797, 65084, 28485, 18875, 37198, 22970, 25632, 34941, 19000, 179077, 39570, 18578, 178875, 12926, 40417, 31108, 7117, 8826, 50372, 1096, 24330, 36005, 24310, 43514, 18314, 183312, 42243, 36084, 155519, 38762, 14639, 1618, 25462, 40829]",all
160,RUBBER AND MISCELLANEOUS PLASTICS PRODUCTS,3000,13,2096388377.18,"[7906, 28176, 164755, 11376, 148950, 20126, 5234, 9555, 7636, 39546, 106107, 14794, 31337]",all
163,"SECURITY AND COMMODITY BROKERS, DEALERS, EXCHANGES, AND SERVICES",6200,102,22911932139.1273,"[34749, 39293, 114628, 163610, 178519, 124434, 177088, 12124, 13988, 178507, 20412, 164708, 184500, 149070, 189459, 184254, 12138, 176701, 10035, 25219, 33948, 149337, 8898, 174744, 40535, 41278, 29804, 2369, 4885, 38396, 11770, 6682, 41817, 8605, 19927, 160373, 145701, 158742, 35881, 183603, 60820, 65886, 51379, 162559, 144496, 24750, 259518, 9317, 39909, 23247, 30076, 23432, 66731, 33110, 31521, 266214, 21799, 61467, 127377, 39098, 16113, 41918, 26567, 21019, 60834, 327677, 24660, 37776, 25030, 180081, 37404, 13453, 39750, 157655, 37530, 65235, 42895, 38534, 178073, 37678, 183590, 14333, 18738, 41204, 43083, 40312, 45040, 34580, 14551, 38016, 45754, 187831, 43913, 41636, 149082, 35079, 39626, 175674, 12407, 38405, 7315, 320080]",all
164,"SECURITY AND COMMODITY BROKERS, DEALERS, EXCHANGES, AND SERVICES - Large Cap",6200,20,19218721323.89,"[34749, 39293, 114628, 163610, 178519, 124434, 177088, 12124, 13988, 178507, 20412, 164708, 184500, 149070, 189459, 184254, 12138, 176701, 10035, 25219]",large_cap
165,"SECURITY AND COMMODITY BROKERS, DEALERS, EXCHANGES, AND SERVICES - Small Cap",6200,20,5649668.4773,"[18738, 41204, 43083, 40312, 45040, 34580, 14551, 38016, 45754, 187831, 43913, 41636, 149082, 35079, 39626, 175674, 12407, 38405, 7315, 320080]",small_cap
167,"STONE, CLAY, GLASS, AND CONCRETE PRODUCTS",3200,13,1324433537.669,"[15444, 366911, 8214, 30032, 100477, 175689, 8215, 7512, 45751, 8105, 61709, 39957, 30944]",all
176,TRANSPORTATION BY AIR,4500,31,4282058163.26,"[40092, 39405, 1045, 10795, 3851, 4598, 9882, 1230, 11065, 12392, 147305, 50617, 175007, 8092, 38038, 165678, 152011, 38282, 43100, 32843, 14229, 38779, 39231, 35960, 164190, 165948, 37066, 40249, 164094, 33962, 39412]",all
179,TRANSPORTATION EQUIPMENT,3700,120,52570349397.6814,"[184996, 2285, 5047, 4839, 39503, 10983, 28192, 33073, 39811, 6774, 5046, 5073, 25466, 148349, 186310, 118122, 8253, 176362, 60979, 3662, 185952, 28742, 6946, 5567, 11721, 4608, 11580, 39337, 101276, 10519, 5116, 45783, 177966, 4036, 14311, 35223, 164494, 11796, 136648, 37490, 64690, 38258, 23753, 10549, 12389, 34051, 3734, 39578, 8386, 42214, 42033, 7549, 30463, 60758, 163765, 43057, 10735, 23167, 37820, 45265, 11537, 19391, 162400, 51747, 117861, 18320, 4091, 28408, 36970, 51085, 24720, 39268, 39318, 38560, 25726, 39632, 41998, 162870, 37373, 253759, 31567, 184049, 36157, 39993, 27339, 148396, 30558, 184957, 24911, 37182, 43915, 39207, 74783, 39265, 162742, 220833, 40305, 101305, 133145, 100499, 33706, 43546, 35019, 14078, 335558, 36535, 17828, 63477, 36979, 174152, 39325, 41296, 160570, 166087, 142546, 351491, 38407, 149683, 36727, 20561]",all
180,TRANSPORTATION EQUIPMENT - Large Cap,3700,24,50001732104.34,"[184996, 2285, 5047, 4839, 39503, 10983, 28192, 33073, 39811, 6774, 5046, 5073, 25466, 148349, 186310, 118122, 8253, 176362, 60979, 3662, 185952, 28742, 6946, 5567]",large_cap
181,TRANSPORTATION EQUIPMENT - Small Cap,3700,24,9822725.9006,"[40305, 101305, 133145, 100499, 33706, 43546, 35019, 14078, 335558, 36535, 17828, 63477, 36979, 174152, 39325, 41296, 160570, 166087, 142546, 351491, 38407, 149683, 36727, 20561]",small_cap
182,TRANSPORTATION SERVICES,4700,19,1743013184.7974,"[119314, 126296, 4494, 39319, 185319, 62378, 35808, 4941, 41716, 37079, 24351, 42855, 162914, 32283, 50796, 26083, 29569, 37362, 43588]",all
185,WATER TRANSPORTATION,4400,56,3180463691.7192,"[13498, 28191, 104432, 6461, 184352, 45220, 312009, 277323, 1254, 249158, 10565, 179087, 165262, 271342, 27706, 327675, 174700, 163930, 160621, 317264, 165743, 65500, 288586, 61034, 178877, 101973, 175606, 147398, 185770, 18289, 65374, 330888, 17408, 316726, 66401, 60856, 40399, 180112, 165075, 165913, 178403, 51488, 352262, 31384, 349705, 186197, 21904, 51624, 39488, 163060, 17454, 40285, 43008, 1262, 285135, 18926]",all
186,WATER TRANSPORTATION - Large Cap,4400,11,2912754418.32,"[13498, 28191, 104432, 6461, 184352, 45220, 312009, 277323, 1254, 249158, 10565]",large_cap
187,WATER TRANSPORTATION - Small Cap,4400,11,3714124.05,"[186197, 21904, 51624, 39488, 163060, 17454, 40285, 43008, 1262, 285135, 18926]",small_cap
188,WHOLESALE TRADE-DURABLE GOODS,5000,67,4863594096.0934,"[5256, 100644, 61420, 120444, 14225, 11313, 29901, 1773, 155394, 28320, 30671, 5125, 61494, 38870, 31453, 25893, 2101, 156155, 34053, 1919, 61732, 16486, 1004, 8213, 38374, 50831, 64223, 63986, 5968, 20235, 35852, 61028, 29870, 180016, 66586, 31738, 29910, 161813, 60931, 15020, 19172, 178973, 6617, 4669, 62956, 37587, 30899, 36206, 4860, 9125, 101846, 37749, 11258, 100555, 45329, 4599, 43547, 43159, 171045, 7295, 39627, 8350, 27765, 45398, 42879, 43524, 42046]",all
189,WHOLESALE TRADE-DURABLE GOODS - Large Cap,5000,13,3973926095.22,"[5256, 100644, 61420, 120444, 14225, 11313, 29901, 1773, 155394, 28320, 30671, 5125, 61494]",large_cap
190,WHOLESALE TRADE-DURABLE GOODS - Small Cap,5000,13,3296155.274,"[45329, 4599, 43547, 43159, 171045, 7295, 39627, 8350, 27765, 45398, 42879, 43524, 42046]",small_cap
191,WHOLESALE TRADE-NON-DURABLE GOODS,5100,47,2749139979.6577,"[2751, 7171, 31673, 10247, 18312, 28787, 116029, 5530, 12892, 63927, 186960, 18468, 12471, 1659, 11017, 176914, 64063, 183269, 12833, 37019, 50437, 35674, 147708, 43088, 163935, 15212, 25536, 186501, 43866, 18874, 60748, 50472, 11455, 160742, 37520, 4225, 40703, 50409, 43582, 45541, 102892, 45719, 34030, 45537, 36311, 38075, 50580]",all
